,Date,Execution Group,Volume $m,PnL $k ($/M),PnL ($/M),week_end_str,week_end,realized_vol,vol_bucket,vol_pct,regime_penalty,neg_week,neg_streak,pct_change,large_drop,drawdown,drawdown_penalty,score_neg_week,score_streak,score_large_drop,score_drawdown,score_regime,risk_score,rolling_4w_pnl,median_pnl,structural_break,risk_flag
160,2025-12-28,Broker,756.0,-20.8,-27,,2025-12-28,0.04515618822067395,Low,0.052083333333333336,0.0,1,1.0,-1.54,1,-1.2477064220183487,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,47.5,55.5,True,Implement Changes
168,2026-01-04,Broker,859.0,17.9,21,,2026-01-04,0.06157134959244902,Low,0.2520833333333333,0.0,0,0.0,-1.7777777777777777,1,-0.8073394495412844,0.8073394495412844,0,0.0,100,80.73394495412845,0.0,35.18348623853211,28.75,55.5,True,Monitor
176,2026-01-11,Broker,1190.0,17.6,15,,2026-01-11,0.0725203710624446,Med-Low,0.35208333333333336,0.0,0,0.0,-0.2857142857142857,0,-0.8623853211009175,0.8623853211009175,0,0.0,0,86.23853211009175,0.0,21.55963302752294,14.75,55.5,True,Normal
184,2026-01-18,Broker,1010.0,46.8,46,,2026-01-18,0.0495294057848957,Low,0.08541666666666667,0.0,0,0.0,2.066666666666667,0,-0.5779816513761468,0.5779816513761468,0,0.0,0,57.798165137614674,0.0,14.449541284403669,13.75,55.5,True,Normal
193,2026-01-25,Broker,1384.0,-6.0,-4,,2026-01-25,0.22212190880040766,High,0.9854166666666667,0.0,1,1.0,-1.0869565217391304,1,-1.0416666666666667,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,19.5,55.5,True,Implement Changes
201,2026-02-01,Broker,1433.0,129.8,91,,2026-02-01,0.06126546435243693,Low,0.21875,0.0,0,0.0,-23.75,1,0.0,0.0,0,0.0,100,0.0,0.0,15.0,37.0,55.5,True,Normal
209,2026-02-08,Broker,1354.0,-19.5,-14,,2026-02-08,0.20442884456306462,High,0.91875,0.0,1,1.0,-1.1538461538461537,1,-1.1538461538461537,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,29.75,55.5,True,Implement Changes
217,2026-02-15,Broker,1316.0,35.2,27,,2026-02-15,0.12302020049365062,Med-High,0.6520833333333333,0.0,0,0.0,-2.928571428571429,1,-0.7032967032967034,0.7032967032967034,0,0.0,100,70.32967032967034,0.0,32.582417582417584,25.0,55.5,True,Monitor
225,2026-02-22,Broker,907.0,112.7,124,,2026-02-22,0.07067643705287521,Med-Low,0.31875,0.0,0,0.0,3.5925925925925926,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,57.0,55.5,False,Normal
233,2026-03-01,Broker,582.0,33.5,58,,2026-03-01,0.13198920424946017,Med-High,0.7520833333333333,0.0,0,0.0,-0.532258064516129,1,-0.532258064516129,0.532258064516129,0,0.0,100,53.2258064516129,0.0,28.306451612903224,48.75,55.5,True,Normal
2,2025-08-10,Catch all,3683.8,368.4,100,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
10,2025-08-17,Catch all,3483.9,316.5,91,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.08999999999999997,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
18,2025-08-24,Catch all,4135.7,439.0,106,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,0.16483516483516492,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
26,2025-08-31,Catch all,4606.8,423.8,92,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.13207547169811318,0,-0.1320754716981132,0.1320754716981132,0,0.0,0,13.20754716981132,0.0,3.30188679245283,97.25,86.5,False,Normal
34,2025-09-07,Catch all,5568.2,721.0,129,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,0,0.0,0.40217391304347827,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,104.5,86.5,False,Normal
